name,test_rmse,test_mae,test_r2,train_r2,cv_rmse
Random Forest,0.6657290791056955,0.5115131578947368,0.4105441425015067,0.913563364278959,0.7009188008335435
Gradient Boosting,0.6836894355977083,0.5263431078928713,0.37830987169590047,0.46804308994518506,0.7074013375757677
SVR,0.7139318240867701,0.5364414342511087,0.32209362852661827,0.5571700087615818,0.7280577958604124
Neural Network,0.7204738627494987,0.5539040794620689,0.30961285974004615,0.5829453083679179,0.7151483526521983
Ridge,0.7262263488494384,0.5630783700595108,0.29854431930781244,0.30681893615514266,0.7379993026465637
Linear Regression,0.7262277912483364,0.5630771292250916,0.2985415329040769,0.3068189653606519,0.7380008981060147
ElasticNet,0.7396144440055865,0.5783435525212943,0.2724430380263052,0.2745055237505841,0.7533949891612975
Lasso,0.7493033938323728,0.5902089469878963,0.2532561883558936,0.2510497606115507,0.7650107433289248
Decision Tree,0.8200981838989124,0.616482787149949,0.1054843704688847,0.6546362389981532,0.8544260632446175
